#n,,,,,,,
384,,,,,,,
#no,x(m),y(m),z(m),nx,ny,nz,area(m2)
0,0.009379,0.022278,-0.000924,0,0,1,3.14E-06
1,0.005251,0.023898,-0.001124,0,0,1,3.14E-06
2,0.015843,0.024418,-0.001132,0,0,1,3.14E-06
3,-0.000263,0.02453,-0.001037,0,0,1,3.14E-06
4,-0.010849,0.024793,-0.001175,0,0,1,3.14E-06
5,-0.016915,0.025226,-0.001425,0,0,1,3.14E-06
6,-0.005859,0.025926,-0.00118,0,0,1,3.14E-06
7,0.011383,0.02631,-0.001525,0,0,1,3.14E-06
8,0.021906,0.027225,-0.001023,0,0,1,3.14E-06
9,-0.025751,0.02742,-0.001471,0,0,1,3.14E-06
10,-0.021121,0.028096,-0.001949,0,0,1,3.14E-06
11,0.007124,0.02885,-0.001666,0,0,1,3.14E-06
12,-0.012066,0.028976,-0.001812,0,0,1,3.14E-06
13,0.017669,0.029146,-0.001857,0,0,1,3.14E-06
14,-0.003142,0.02954,-0.001453,0,0,1,3.14E-06
15,0.001729,0.030309,-0.001535,0,0,1,3.14E-06
16,-0.028991,0.030576,-0.00171,0,0,1,3.14E-06
17,0.012481,0.031219,-0.00203,0,0,1,3.14E-06
18,-0.017912,0.031841,-0.00255,0,0,1,3.14E-06
19,-0.006564,0.032386,-0.001718,0,0,1,3.14E-06
20,0.022383,0.032415,-0.002054,0,0,1,3.14E-06
21,-0.034439,0.032897,-0.001135,0,0,1,3.14E-06
22,0.02658,0.033301,-0.001439,0,0,1,3.14E-06
23,-0.01328,0.033476,-0.002346,0,0,1,3.14E-06
24,0.017584,0.033641,-0.002405,0,0,1,3.14E-06
25,-0.001267,0.034035,-0.001553,0,0,1,3.14E-06
26,0.009228,0.034293,-0.002029,0,0,1,3.14E-06
27,0.004034,0.034852,-0.001739,0,0,1,3.14E-06
28,-0.022918,0.034901,-0.003062,0,0,1,3.14E-06
29,-0.027162,0.035368,-0.002843,0,0,1,3.14E-06
30,-0.036898,0.036579,-0.001241,0,0,1,3.14E-06
31,0.013554,0.036671,-0.002418,0,0,1,3.14E-06
32,-0.018489,0.037022,-0.003153,0,0,1,3.14E-06
33,-0.008986,0.037824,-0.002023,0,0,1,3.14E-06
34,0.0269,0.03817,-0.002321,0,0,1,3.14E-06
35,0.007296,0.038393,-0.001973,0,0,1,3.14E-06
36,-0.013314,0.038943,-0.002588,0,0,1,3.14E-06
37,-0.02954,0.038953,-0.003077,0,0,1,3.14E-06
38,0.019391,0.039517,-0.002896,0,0,1,3.14E-06
39,-0.02512,0.039892,-0.003558,0,0,1,3.14E-06
40,-0.039796,0.039906,-0.001147,0,0,1,3.14E-06
41,-0.004971,0.040179,-0.001602,0,0,1,3.14E-06
42,0.002943,0.040402,-0.001643,0,0,1,3.14E-06
43,0.011001,0.040514,-0.002311,0,0,1,3.14E-06
44,-0.035477,0.040685,-0.002275,0,0,1,3.14E-06
45,0.029434,0.041915,-0.002267,0,0,1,3.14E-06
46,0.023098,0.042197,-0.003112,0,0,1,3.14E-06
47,-0.009262,0.042479,-0.001932,0,0,1,3.14E-06
48,0.007042,0.042679,-0.001932,0,0,1,3.14E-06
49,-0.018486,0.042752,-0.003295,0,0,1,3.14E-06
50,0.014586,0.043827,-0.002702,0,0,1,3.14E-06
51,0.018876,0.044464,-0.003097,0,0,1,3.14E-06
52,-0.040195,0.044469,-0.00185,0,0,1,3.14E-06
53,-0.001687,0.044946,-0.001301,0,0,1,3.14E-06
