#Order, #Num, #Angle, #Angle_answer, #distance
1, 1, 0, 195.2551, 6.697534
2, 73, 0, 195.4305, 6.41298
3, 35, 90, 164.0889, 6.428091
4, 13, 180, 20.00235, 7.11447
5, 52, 135, 359.771, 6.96509
6, 115, 90, 225.341, 6.645933
7, 114, 45, 339.6848, 7.009435
8, 49, 0, 198.5775, 7.111829
9, 59, 90, 221.5788, 7.291744
10, 89, 0, 127.7368, 4.067597
11, 30, 225, 269.6255, 4.279811
12, 14, 225, 197.0205, 4.300239
13, 81, 0, 223.172, 3.720385
14, 25, 0, 316.5622, 4.353045
15, 90, 45, 293.1986, 4.047543
16, 121, 0, 199.1063, 4.529223
17, 53, 180, 88.29382, 6.576342
18, 24, 315, 270.3559, 4.503583
19, 99, 90, 44.02067, 4.629011
20, 119, 270, 20.8391, 4.639143
21, 37, 180, 180.4121, 3.888212
22, 102, 225, 270.3472, 4.615469
23, 7, 270, 219.2894, 4.373129
24, 55, 270, 219.9576, 4.050636
25, 103, 270, 127.8115, 4.425773
26, 85, 180, 229.6534, 3.413275
27, 96, 315, 272.6264, 3.052157
28, 27, 90, 337.7704, 3.475067
29, 44, 135, 89.63506, 4.391697
30, 75, 90, 256.079, 3.371761
31, 65, 0, -1, -1
32, 20, 135, -1, -1
33, 111, 270, -1, -1
34, 105, 0, -1, -1
35, 5, 180, -1, -1
36, 113, 0, -1, -1
37, 4, 135, -1, -1
38, 82, 45, -1, -1
39, 56, 315, -1, -1
40, 97, 0, -1, -1
41, 40, 315, -1, -1
42, 16, 315, -1, -1
43, 46, 225, -1, -1
44, 106, 45, -1, -1
45, 29, 180, -1, -1
46, 126, 225, -1, -1
47, 61, 180, -1, -1
48, 74, 45, -1, -1
49, 128, 315, -1, -1
50, 94, 225, -1, -1
51, 28, 135, -1, -1
52, 98, 45, -1, -1
53, 18, 45, -1, -1
54, 42, 45, -1, -1
55, 125, 180, -1, -1
56, 72, 315, -1, -1
57, 32, 315, -1, -1
58, 3, 90, -1, -1
59, 127, 270, -1, -1
60, 91, 90, -1, -1
61, 9, 0, -1, -1
62, 31, 270, -1, -1
63, 112, 315, -1, -1
64, 83, 90, -1, -1
65, 64, 315, -1, -1
66, 66, 45, -1, -1
67, 48, 315, -1, -1
68, 70, 225, -1, -1
69, 19, 90, -1, -1
70, 62, 225, -1, -1
71, 10, 45, -1, -1
72, 68, 135, -1, -1
73, 36, 135, -1, -1
74, 67, 90, -1, -1
75, 2, 45, -1, -1
76, 79, 270, -1, -1
77, 47, 270, -1, -1
78, 11, 90, -1, -1
79, 116, 135, -1, -1
80, 33, 0, -1, -1
81, 26, 45, -1, -1
82, 109, 180, -1, -1
83, 39, 270, -1, -1
84, 43, 90, -1, -1
85, 87, 270, -1, -1
86, 77, 180, -1, -1
87, 107, 90, -1, -1
88, 21, 180, -1, -1
89, 41, 0, -1, -1
90, 60, 135, -1, -1
91, 45, 180, -1, -1
92, 124, 135, -1, -1
93, 101, 180, -1, -1
94, 80, 315, -1, -1
95, 118, 225, -1, -1
96, 104, 315, -1, -1
97, 57, 0, -1, -1
98, 71, 270, -1, -1
99, 22, 225, -1, -1
100, 50, 45, -1, -1
101, 34, 45, -1, -1
102, 110, 225, -1, -1
103, 86, 225, -1, -1
104, 123, 90, -1, -1
105, 15, 270, -1, -1
106, 12, 135, -1, -1
107, 93, 180, -1, -1
108, 38, 225, -1, -1
109, 63, 270, -1, -1
110, 95, 270, -1, -1
111, 84, 135, -1, -1
112, 69, 180, -1, -1
113, 17, 0, -1, -1
114, 108, 135, -1, -1
115, 76, 135, -1, -1
116, 120, 315, -1, -1
117, 122, 45, -1, -1
118, 78, 225, -1, -1
119, 88, 315, -1, -1
120, 100, 135, -1, -1
121, 23, 270, -1, -1
122, 117, 180, -1, -1
123, 6, 225, -1, -1
124, 58, 45, -1, -1
125, 51, 90, -1, -1
126, 92, 135, -1, -1
127, 54, 225, -1, -1
128, 8, 315, -1, -1
129, 1, 0, -1, -1
130, 73, 0, -1, -1
131, 35, 90, -1, -1
132, 13, 180, -1, -1
133, 52, 135, -1, -1
134, 115, 90, -1, -1
135, 114, 45, -1, -1
136, 49, 0, -1, -1
137, 59, 90, -1, -1
138, 89, 0, -1, -1
139, 30, 225, -1, -1
140, 14, 225, -1, -1
141, 81, 0, -1, -1
142, 25, 0, -1, -1
143, 90, 45, -1, -1
144, 121, 0, -1, -1
145, 53, 180, -1, -1
146, 24, 315, -1, -1
147, 99, 90, -1, -1
148, 119, 270, -1, -1
149, 37, 180, -1, -1
150, 102, 225, -1, -1
151, 7, 270, -1, -1
152, 55, 270, -1, -1
153, 103, 270, -1, -1
154, 85, 180, -1, -1
155, 96, 315, -1, -1
156, 27, 90, -1, -1
157, 44, 135, -1, -1
158, 75, 90, -1, -1
159, 65, 0, -1, -1
160, 20, 135, -1, -1
161, 111, 270, -1, -1
162, 105, 0, -1, -1
163, 5, 180, -1, -1
164, 113, 0, -1, -1
165, 4, 135, -1, -1
166, 82, 45, -1, -1
167, 56, 315, -1, -1
168, 97, 0, -1, -1
169, 40, 315, -1, -1
170, 16, 315, -1, -1
171, 46, 225, -1, -1
172, 106, 45, -1, -1
173, 29, 180, -1, -1
174, 126, 225, -1, -1
175, 61, 180, -1, -1
176, 74, 45, -1, -1
177, 128, 315, -1, -1
178, 94, 225, -1, -1
179, 28, 135, -1, -1
180, 98, 45, -1, -1
181, 18, 45, -1, -1
182, 42, 45, -1, -1
183, 125, 180, -1, -1
