#Order, #Num, #Angle, #Angle_answer, #distance
1, 1, 0, -1, -1
2, 73, 0, -1, -1
3, 35, 90, -1, -1
4, 13, 180, -1, -1
5, 52, 135, -1, -1
6, 115, 90, -1, -1
7, 114, 45, -1, -1
8, 49, 0, -1, -1
9, 59, 90, -1, -1
10, 89, 0, -1, -1
11, 30, 225, -1, -1
12, 14, 225, -1, -1
13, 81, 0, -1, -1
14, 25, 0, -1, -1
15, 90, 45, -1, -1
16, 121, 0, -1, -1
17, 53, 180, -1, -1
18, 24, 315, -1, -1
19, 99, 90, -1, -1
20, 119, 270, -1, -1
21, 37, 180, -1, -1
22, 102, 225, -1, -1
23, 7, 270, -1, -1
24, 55, 270, -1, -1
25, 103, 270, -1, -1
26, 85, 180, -1, -1
27, 96, 315, -1, -1
28, 27, 90, -1, -1
29, 44, 135, -1, -1
30, 75, 90, -1, -1
31, 65, 0, 46.99208, 4.551969
32, 20, 135, 178.603, 5.735971
33, 111, 270, 313.6113, 6.529057
34, 105, 0, 191.7006, 4.827586
35, 5, 180, 224.0036, 4.549906
36, 113, 0, 314.4974, 4.509834
37, 4, 135, 269.5489, 3.552557
38, 82, 45, 341.3377, 4.458184
39, 56, 315, 109.754, 5.379509
40, 97, 0, 49.91179, 5.082141
41, 40, 315, 91.33222, 6.015611
42, 16, 315, 254.2113, 4.214968
43, 46, 225, 274.5905, 3.844501
44, 106, 45, 91.65549, 4.841182
45, 29, 180, 71.764, 5.095057
46, 126, 225, 269.736, 6.069994
47, 61, 180, 200.6807, 4.514688
48, 74, 45, 342.1703, 5.024542
49, 128, 315, 225.5617, 4.035152
50, 94, 225, 20.59603, 4.691469
51, 28, 135, 21.3244, 5.615207
52, 98, 45, 135, 4.232752
53, 18, 45, 200.3084, 3.787913
54, 42, 45, 342.5528, 5.131171
55, 125, 180, 154.692, 3.991482
56, 72, 315, 131.0995, 5.233834
57, 32, 315, 92.19057, 5.122624
58, 3, 90, 197.071, 3.716177
59, 127, 270, 227.8064, 4.039804
60, 91, 90, 157.9321, 3.350343
61, 9, 0, 1.138148, 4.22461
62, 31, 270, 180.4121, 3.888212
