#Order, #Num, #Angle, #Angle_answer, #distance
1, 1, 0, -1, -1
2, 73, 0, -1, -1
3, 35, 90, -1, -1
4, 13, 180, -1, -1
5, 52, 135, -1, -1
6, 115, 90, -1, -1
7, 114, 45, -1, -1
8, 49, 0, -1, -1
9, 59, 90, -1, -1
10, 89, 0, -1, -1
11, 30, 225, -1, -1
12, 14, 225, -1, -1
13, 81, 0, -1, -1
14, 25, 0, -1, -1
15, 90, 45, -1, -1
16, 121, 0, -1, -1
17, 53, 180, -1, -1
18, 24, 315, -1, -1
19, 99, 90, -1, -1
20, 119, 270, -1, -1
21, 37, 180, -1, -1
22, 102, 225, -1, -1
23, 7, 270, -1, -1
24, 55, 270, -1, -1
25, 103, 270, -1, -1
26, 85, 180, -1, -1
27, 96, 315, -1, -1
28, 27, 90, -1, -1
29, 44, 135, -1, -1
30, 75, 90, -1, -1
31, 65, 0, -1, -1
32, 20, 135, -1, -1
33, 111, 270, -1, -1
34, 105, 0, -1, -1
35, 5, 180, -1, -1
36, 113, 0, -1, -1
37, 4, 135, -1, -1
38, 82, 45, -1, -1
39, 56, 315, -1, -1
40, 97, 0, -1, -1
41, 40, 315, -1, -1
42, 16, 315, -1, -1
43, 46, 225, -1, -1
44, 106, 45, -1, -1
45, 29, 180, -1, -1
46, 126, 225, -1, -1
47, 61, 180, -1, -1
48, 74, 45, -1, -1
49, 128, 315, -1, -1
50, 94, 225, -1, -1
51, 28, 135, -1, -1
52, 98, 45, -1, -1
53, 18, 45, -1, -1
54, 42, 45, -1, -1
55, 125, 180, -1, -1
56, 72, 315, -1, -1
57, 32, 315, -1, -1
58, 3, 90, -1, -1
59, 127, 270, -1, -1
60, 91, 90, -1, -1
61, 9, 0, -1, -1
62, 31, 270, -1, -1
63, 112, 315, -1, -1
64, 83, 90, -1, -1
65, 64, 315, -1, -1
66, 66, 45, -1, -1
67, 48, 315, -1, -1
68, 70, 225, -1, -1
69, 19, 90, -1, -1
70, 62, 225, -1, -1
71, 10, 45, -1, -1
72, 68, 135, -1, -1
73, 36, 135, -1, -1
74, 67, 90, -1, -1
75, 2, 45, -1, -1
